rID,DaysAfterPlanting,Genotype,Location,Humidity,GDD,Growth.rate
241,41,Gen-A,Loc-N,27.26,609.5,-0.544794612
242,42,Gen-A,Loc-N,22.38,634,-0.536923967
243,43,Gen-A,Loc-N,17.79,655,-0.52840802
244,44,Gen-A,Loc-N,19.52,678.5,-0.519193863
245,45,Gen-A,Loc-N,20.22,703.5,-0.509224251
246,46,Gen-A,Loc-N,34.51,728.5,-0.498437246
247,47,Gen-A,Loc-N,32.71,754,-0.486765831
248,48,Gen-A,Loc-N,22.97,774.5,-0.474137494
249,49,Gen-A,Loc-N,17.63,796,-0.46047378
250,50,Gen-A,Loc-N,15.13,820.5,-0.445689798
251,51,Gen-A,Loc-N,23.6,841.5,-0.4296937
252,52,Gen-A,Loc-N,23.46,863.5,-0.412386106
253,53,Gen-A,Loc-N,16.24,885,-0.393659489
254,54,Gen-A,Loc-N,14.25,904,-0.373397505
255,55,Gen-A,Loc-N,20.88,915.5,-0.351474273
256,56,Gen-A,Loc-N,35.44,935.5,-0.327753587
257,57,Gen-A,Loc-N,33.51,960,-0.302088078
258,58,Gen-A,Loc-N,34.06,983.5,-0.274318294
259,59,Gen-A,Loc-N,36.56,1007,-0.244271707
260,60,Gen-A,Loc-N,64.53,1030.5,-0.211761646
261,61,Gen-A,Loc-N,47.71,1054,-0.176586136
262,62,Gen-A,Loc-N,32.35,1079.5,-0.138526638
263,63,Gen-A,Loc-N,32.18,1105,-0.0973467
264,64,Gen-A,Loc-N,33.05,1127,-0.052790481
265,65,Gen-A,Loc-N,25.23,1149,-0.004581167
266,66,Gen-A,Loc-N,30.45,1174,0.047580757
267,67,Gen-A,Loc-N,24.14,1198,0.104019357
268,68,Gen-A,Loc-N,28.11,1217,0.165085271
269,69,Gen-A,Loc-N,32.72,1240,0.231157887
270,70,Gen-A,Loc-N,26.98,1265.5,0.302647696
271,71,Gen-A,Loc-N,29.19,1290.5,0.379998846
272,72,Gen-A,Loc-N,45.64,1315.5,0.463691895
273,73,Gen-A,Loc-N,26.9,1344,0.554246806
274,74,Gen-A,Loc-N,38.93,1372.5,0.652226159
